rank	name	childcount	min	max	mode	median	mean	stddev
genus	Dichelobacter	1	3	3	3	3	3	0
genus	Archaeoglobus	5	1	1	1	1	1	0
genus	Polaromonas	2	1	2		1.5	1.5	0.5
genus	Nitrosopumilus	4	1	1	1	1	1	0
genus	Meiothermus	3	2	2	2	2	2	0
genus	Tistrella	1	4	4	4	4	4	0
genus	Rickettsia	42	1	1	1	1	1	0
genus	Xanthobacter	1	2	2	2	2	2	0
genus	Riemerella	5	3	3	3	3	3	0
genus	Chitinophaga	1	6	6	6	6	6	0
genus	Methanothermococcus	1	2	2	2	2	2	0
genus	Thermomicrobium	1	1	1	1	1	1	0
genus	Macrococcus	1	4	4	4	4	4	0
genus	Renibacterium	1	2	2	2	2	2	0
genus	Acidiphilium	2	2	2	2	2	2	0
genus	Methylococcus	1	2	2	2	2	2	0
genus	Orientia	3	1	1	1	1	1	0
genus	Salinispora	2	3	3	3	3	3	0
genus	Pelotomaculum	1	2	2	2	2	2	0
genus	Flexistipes	1	2	2	2	2	2	0
genus	Simkania	1	1	1	1	1	1	0
genus	Virgibacillus	1	7	7	7	7	7	0
genus	Rhodobacter	5	3	4	4	4	3.8	0.4
genus	Runella	1	2	2	2	2	2	0
genus	Methanolobus	1	3	3	3	3	3	0
genus	Nocardiopsis	2	5	5	5	5	5	0
genus	Lacinutrix	1	2	2	2	2	2	0
genus	Thermogymnomonas	2	1	1	1	1	1	0
genus	Nocardioides	1	2	2	2	2	2	0
genus	Nautilia	1	4	4	4	4	4	0
genus	Thermoproteus	2	1	1	1	1	1	0
genus	Dickeya	5	7	7	7	7	7	0
genus	Nocardia	4	3	3	3	3	3	0
genus	Oceanimonas	1	7	7	7	7	7	0
genus	Collimonas	1	3	3	3	3	3	0
genus	Winogradskyella	1	2	2	2	2	2	0
genus	Thermocrinis	1	1	1	1	1	1	0
genus	Histophilus	2	5	5	5	5	5	0
genus	Oceanithermus	1	2	2	2	2	2	0
genus	Sulfurihydrogenibium	2	2	3		2.5	2.5	0.5
genus	Gemmatimonas	1	1	1	1	1	1	0
genus	Thiobacillus	1	2	2	2	2	2	0
genus	Aequorivita	1	2	2	2	2	2	0
genus	Methanobacterium	4	2	3	2	2	2.25	0.43
genus	Thalassobaculum	1	1	1	1	1	1	0
genus	Brevibacillus	1	15	15	15	15	15	0
genus	Ferroplasma	1	1	1	1	1	1	0
genus	Solitalea	1	4	4	4	4	4	0
genus	Lawsonia	2	2	2	2	2	2	0
genus	Ferrimonas	1	7	7	7	7	7	0
genus	Capnocytophaga	2	3	4		3.5	3.5	0.5
genus	Echinicola	1	4	4	4	4	4	0
genus	GpXIII	3	2	3	2	2	2.33	0.47
genus	Proteus	1	7	7	7	7	7	0
genus	Bacteroides	8	5	7	6	6	6	0.71
genus	Burkholderia	52	2	7	4	4.5	4.83	1.09
genus	Akkermansia	1	3	3	3	3	3	0
genus	Thiomonas	2	1	1	1	1	1	0
genus	Chelativorans	1	2	2	2	2	2	0
genus	Dehalococcoides	8	1	1	1	1	1	0
genus	Bartonella	10	2	2	2	2	2	0
genus	Ruegeria	1	5	5	5	5	5	0
genus	Methanobrevibacter	3	2	3	2	2	2.33	0.47
genus	Borrelia	10	1	1	1	1	1	0
genus	Methanocella	3	2	3	2	2	2.33	0.47
genus	Terribacillus	1	8	8	8	8	8	0
genus	Ilumatobacter	1	2	2	2	2	2	0
genus	Azospirillum	2	9	9	9	9	9	0
genus	Acidovorax	3	3	3	3	3	3	0
genus	Cycloclasticus	2	1	1	1	1	1	0
genus	Micrococcus	1	2	2	2	2	2	0
genus	Desulfotalea	1	7	7	7	7	7	0
genus	Gordonibacter	1	1	1	1	1	1	0
genus	Dyadobacter	1	4	4	4	4	4	0
genus	Brachyspira	4	1	1	1	1	1	0
genus	Alteromonas	13	5	5	5	5	5	0
genus	GpXII	1	2	2	2	2	2	0
genus	Methylomonas	1	3	3	3	3	3	0
